slider_relation.response,slider_relation.rt,slider_blame_SA.response,slider_blame_SA.rt,slider_blame_OA.response,slider_blame_OA.rt,verb_stimulus,agency,mouse_feeling.clicked_name,mouse_feeling.time,mouse_action.clicked_name,mouse_action.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimno_ADeSS,stimno_Zahn2007,participant,your name,your best friend,session,date,expName,psychopyVersion,OS,frameRate
5,4.2187,7,4.1332,1,6.9774,is vain towards,self,"[""shame""]",5.8299,"[""distance_friend"",""hiding"",""distance_friend""]",10.8634,0,0,0,47,1,48,201,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,2,6.1187,2,22.3078,is firm with,self,"[""no_feeling""]",3.5773,"[""no_action""]",4.878,0,1,1,51,1,52,237,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,5,3.0393,3,5.936,is impatient with,self,"[""guilt""]",6.0315,"[""apologising""]",2.3979,0,2,2,23,1,24,153,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,7,3.7259,1,7.8069,is ignorant towards,self,"[""guilt""]",4.1414,"[""attack_self""]",4.0309,0,3,3,21,1,22,150,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,7,4.1629,1,7.4786,is prejudiced towards,self,"[""anger_self"",""contempt_self"",""anger_self""]",7.9787,"[""attack_self""]",3.6836,0,4,4,29,1,30,171,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,3,7.3696,5,11.4752,is dishonest with,other,"[""no_feeling""]",15.5784,"[""apologising""]",9.0778,0,5,5,14,1,15,137,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,6,3.3856,2,4.9637,is bossy with,self,"[""shame""]",4.3645,"[""hiding""]",3.4152,0,6,6,5,1,6,126,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,6,3.2785,3,4.5513,is quarrelsome with,self,"[""guilt""]",8.8126,"[""apologising""]",2.4961,0,7,7,31,1,32,173,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,3,4.8619,6,8.4111,is ignorant towards,other,"[""anger_friend""]",4.7625,"[""distance_friend""]",7.414,0,8,8,20,1,21,150,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,7,3.2704,1,5.6044,is greedy towards,self,"[""contempt_self""]",3.3622,"[""attack_self""]",3.8322,0,9,9,17,1,18,147,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,2,5.0687,7,7.9901,is romantic towards,other,"[""contempt_self""]",5.9484,"[""attack_self""]",3.1817,0,10,10,52,1,53,275,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,7,6.1386,2,8.0872,is jealous towards,self,"[""anger_self"",""anger_self"",""contempt_self"",""contempt_self""]",6.9944,"[""attack_self""]",2.8491,0,11,11,25,1,26,165,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,2,3.3619,2,5.2206,is competitive with,other,"[""no_feeling""]",3.1959,"[""no_action""]",3.1344,0,12,12,48,1,49,217,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,5,3.8312,4,5.3465,is impatient with,other,"[""guilt""]",4.9144,"[""apologising""]",4.4155,0,13,13,22,1,23,153,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,7,10.8155,2,12.7981,is rough towards,self,"[""guilt""]",3.7676,"[""apologising""]",2.2966,0,14,14,35,1,36,177,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,3,3.3259,5,5.653,is rough towards,other,"[""no_feeling""]",4.431,"[""distance_friend""]",5.2653,0,15,15,34,1,35,177,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,5,4.4262,2,5.6194,is touchy with,self,"[""guilt""]",5.3472,"[""apologising""]",4.2666,0,16,16,43,1,44,184,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,6,4.3973,3,5.6749,is apathetic towards,other,"[""contempt_self""]",2.8964,"[""attack_self"",""hiding"",""attack_self""]",9.4639,0,17,17,0,1,1,123,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,6,3.5229,2,5.3736,is careless towards,self,"[""guilt""]",4.5308,"[""apologising""]",3.7145,0,18,18,7,1,8,127,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,4,3.8468,4,5.8252,is touchy with,other,"[""no_feeling""]",9.0297,"[""no_action""]",3.8469,0,19,19,42,1,43,184,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,2,2.9681,4,5.3015,is stingy towards,other,"[""no_feeling""]",5.6326,"[""no_action""]",2.9324,0,20,20,38,1,39,180,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,5,4.917,3,7.6071,is rebellious towards,self,"[""guilt""]",8.795,"[""apologising""]",3.8794,0,21,21,33,1,34,174,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,4,4.043,4,6.1023,is rebellious towards,other,"[""no_feeling""]",8.3146,"[""hiding""]",6.629,0,22,22,32,1,33,174,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,3,5.589,1,7.5167,is helpless towards,self,"[""shame""]",2.9644,"[""hiding""]",3.9819,0,23,23,19,1,20,149,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,4,3.0718,1,5.7054,is boastful towards,self,"[""shame""]",3.0975,"[""hiding""]",3.4832,0,24,24,3,1,4,125,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,4,3.3342,2,4.8228,is competitive with,self,"[""no_feeling""]",4.3155,"[""no_action""]",5.746,0,25,25,49,1,50,217,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,7,2.6291,1,8.7196,is romantic towards,self,"[""shame"",""shame"",""contempt_self""]",6.614,"[""attack_self""]",2.732,0,26,26,53,1,54,275,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,4,3.5605,6,5.6242,is deceitful towards,other,"[""contempt_self""]",6.197,"[""hiding""]",4.382,0,27,27,10,1,11,133,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,6,3.0374,2,4.8203,is deceitful towards,self,"[""guilt""]",4.7151,"[""hiding""]",3.6143,0,28,28,11,1,12,133,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,3,4.21,7,8.2552,is cruel towards,other,"[""anger_friend""]",5.031,"[""distance_friend""]",4.065,0,29,29,8,1,9,131,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
,,1,9.1553,2,11.1355,is vain towards,other,"[""no_feeling""]",3.8445,"[""no_action""]",3.0314,0,30,30,46,1,47,201,"ID",Pip,Morgan,11/12/23,2023-12-11_12h28.49.226,msat_sussex,2020.2.10,Win32,60
