slider_relation.response,slider_relation.rt,slider_blame_SA.response,slider_blame_SA.rt,slider_blame_OA.response,slider_blame_OA.rt,verb_stimulus,agency,mouse_feeling.clicked_name,mouse_feeling.time,mouse_action.clicked_name,mouse_action.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimno_ADeSS,stimno_Zahn2007,participant,your name,your best friend,session,date,expName,psychopyVersion,OS,frameRate
5,3.3024,6,4.7462,1,8.1617,is apathetic towards,self,"[""guilt""]",4.907,"[""apologising""]",2.5925,0,0,0,1,1,2,123,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,7,6.5368,1,10.4884,is careless towards,self,"[""guilt""]",4.1975,"[""apologising""]",5.5314,0,1,1,7,1,8,127,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,4,15.2683,6,19.9787,is romantic towards,other,"[""shame""]",6.6296,"[""distance_friend""]",5.5597,0,2,2,52,1,53,275,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,2,3.8554,4,6.6697,is deceitful towards,other,"[""anger_friend""]",8.8295,"[""distance_friend""]",3.7798,0,3,3,10,1,11,133,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,4,3.7927,4,6.1009,is careless towards,other,"[""contempt_self""]",4.98,"[""hiding""]",2.8297,0,4,4,6,1,7,127,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,6,3.0445,2,5.3581,is quarrelsome with,self,"[""guilt""]",5.9461,"[""apologising""]",2.3124,0,5,5,31,1,32,173,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,2,2.968,5,4.9123,is ignorant towards,other,"[""anger_friend""]",5.8635,"[""distance_friend""]",4.6796,0,6,6,20,1,21,150,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,7,3.4509,1,5.7478,is greedy towards,self,"[""contempt_self""]",3.715,"[""attack_self""]",5.548,0,7,7,17,1,18,147,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,3,4.9108,3,6.6712,is touchy with,other,"[""no_feeling""]",7.0946,"[""apologising""]",4.1665,0,8,8,42,1,43,184,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,2,3.586,4,6.1249,is selfish towards,other,"[""anger_friend""]",9.898,"[""apologising""]",6.0983,0,9,9,36,1,37,179,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,5,6.1045,2,8.6314,is rebellious towards,self,"[""shame""]",3.0479,"[""apologising""]",8.1794,0,10,10,33,1,34,174,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,5,4.1452,4,6.3374,is tough towards,other,"[""shame""]",8.1755,"[""hiding""]",3.6629,0,11,11,44,1,45,185,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,7,3.704,3,6.5823,is tough towards,self,"[""guilt""]",6.3608,"[""apologising""]",3.4297,0,12,12,45,1,46,185,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,3,3.9525,3,5.6702,is quarrelsome with,other,"[""no_feeling""]",8.4781,"[""apologising""]",3.2295,0,13,13,30,1,31,173,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,3,3.6815,4,6.0032,is disagreeable towards,other,"[""no_feeling""]",38.374,"[""distance_friend""]",7.3656,0,14,14,12,1,13,136,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,7,3.1017,1,7.3035,is possessive towards,self,"[""shame""]",4.2453,"[""attack_self""]",3.7798,0,15,15,27,1,28,170,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,4,4.1825,4,5.4382,is rebellious towards,other,"[""guilt""]",6.665,"[""apologising""]",3.265,0,16,16,32,1,33,174,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,7,11.9858,1,8.2761,is rough towards,self,"[""guilt""]",4.4959,"[""apologising""]",3.6633,0,17,17,35,1,36,177,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,5,3.1592,2,5.3383,is temperamental with,self,"[""shame""]",5.5817,"[""hiding""]",7.0807,0,18,18,41,1,42,182,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,5,3.5617,4,6.5231,is temperamental with,other,"[""contempt_self""]",4.7658,"[""hiding""]",4.0779,0,19,19,40,1,41,182,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,7,3.134,2,5.0221,is touchy with,self,"[""guilt""]",4.2627,"[""apologising""]",3.3141,0,20,20,43,1,44,184,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,7,3.0556,1,7.1416,is dishonest with,self,"[""guilt""]",4.1653,"[""attack_self""]",6.2949,0,21,21,15,1,16,137,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,2,3.4208,3,6.4878,is vain towards,other,"[""no_feeling""]",4.7532,"[""no_action""]",4.4429,0,22,22,46,1,47,201,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,4,3.5551,4,7.5179,is dishonest with,other,"[""anger_friend""]",8.5085,"[""distance_friend""]",4.5293,0,23,23,14,1,15,137,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,7,3.0313,2,5.4051,is disagreeable towards,self,"[""contempt_self""]",4.6966,"[""apologising""]",3.2983,0,24,24,13,1,14,136,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,7,5.5242,1,9.1383,is romantic towards,self,"[""shame""]",2.866,"[""attack_self""]",3.5284,0,25,25,53,1,54,275,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
,,2,10.6795,3,13.355,is bossy with,other,"[""no_feeling""]",3.0312,"[""no_action""]",3.2978,0,26,26,4,1,5,126,"ID",Pip,Morgan,,2023-11-21_13h23.39.356,msat_sussex,2020.2.10,Win32,60
