slider_relation.response,slider_relation.rt,slider_blame_SA.response,slider_blame_SA.rt,slider_blame_OA.response,slider_blame_OA.rt,verb_stimulus,agency,mouse_feeling.clicked_name,mouse_feeling.time,mouse_action.clicked_name,mouse_action.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimno_ADeSS,stimno_Zahn2007,participant,your name,your best friend,session,date,expName,psychopyVersion,OS,frameRate
3,3.2735,1,6.6139,1,7.792,is tough towards,self,"[""shame"",""anger_self"",""contempt_self"",""contempt_self"",""anger_self"",""shame"",""guilt"",""contempt_self"",""contempt_self""]",14.0315,"[""distance_self""]",2.9145,0,0,0,45,1,46,185,"ID",,,,2023-07-10_09h49.23.575,msat_sussex,2020.2.10,Win32,60
,,2,1.763,6,6.1982,is impatient with,other,"[""anger_self""]",2.4651,"[""hiding""]",1.5146,0,1,1,22,1,23,153,"ID",,,,2023-07-10_09h49.23.575,msat_sussex,2020.2.10,Win32,60
,,2,1.1583,2,1.8555,is disagreeable towards,self,"[""contempt_friend""]",3.3629,"[""distance_friend""]",2.6678,0,2,2,13,1,14,136,"ID",,,,2023-07-10_09h49.23.575,msat_sussex,2020.2.10,Win32,60
,,3,1.6125,2,0.8489,is prejudiced towards,self,"[""anger_self""]",23.0281,"[""apologising""]",1.5843,0,3,3,29,1,30,171,"ID",,,,2023-07-10_09h49.23.575,msat_sussex,2020.2.10,Win32,60
